"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","NW",1.4,1.8,"vedro"
"Zagreb-aerodrom","C",0,0.8,"pretežno vedro"
"Puntijarka (Medvednica)","NW",1.8,3.4,"pretežno vedro"
"Krapina A","C",0,1.4,"-"
"Varaždin","SW",0.5,0.8,"pretežno vedro"
"Križevci A","NE",1.2,1.6,"-"
"Bilogora","NE",4.5,6.8,"vedro"
"Daruvar A","S",1,0.8,"-"
"Bjelovar A","NE",1.1,3.9,"-"
"Sisak A","NE",1,1.8,"-"
"Gorice (kod Nove Gradiške)","E",2.3,3.6,"vedro"
"Kutjevo A","NE",2.9,6.5,"-"
"Slavonski Brod","SW",0.2,2.2,"vedro"
"Osijek-Čepin","SW",2.6,5.1,"vedro"
"Osijek-aerodrom","W",3,3,"umjereno oblačno"
"Gradište","N",0.6,7.7,"umjereno oblačno"
"Karlovac A","SE",0.8,0.6,"-"
"Ogulin A","W",0.9,3,"-"
"NP Plitvička jezera A","NE",0.5,0.8,"-"
"Gospić A","N",1.1,-0.9,"-"
"Parg-Čabar A","SW",1.2,2.9,"-"
"Pazin A","NE",0.2,2,"-"
"Pula-aerodrom","E",1,0.8,"pretežno vedro"
"Porer A","NW",2.2,9.8,"-"
"Opatija A","NW",0.6,7.3,"-"
"Rijeka A","N",1.7,7.2,"-"
"Rijeka-aerodrom","NW",2,6.4,"vedro"
"Malinska A","E",1.9,6.2,"-"
"Crikvenica A","N",0.6,5.1,"-"
"Senj A","N",0.8,8.3,"-"
"Zavižan A","W",1.7,2.3,"-"
"Rab A","N",1.4,8.4,"-"
"Mali Lošinj A","SW",1,8.7,"-"
"Zadar A","W",0.9,9,"-"
"Zadar-aerodrom","C",0,2.1,"magla uz vidljivo nebo"
"Veli Rat A","NW",2.6,11.7,"-"
"Knin A","W",0.1,2.6,"-"
"Šibenik A","SW",1.2,7.5,"-"
"Split-Marjan","NW",4.6,11.5,"vedro"
"Split-aerodrom","NW",5,11.2,"vedro"
"Hvar A","-",2.4,10.2,"-"
"Ploče A","SW",0.8,8.3,"-"
"Dubrovnik A","SW",1.6,10.9,"-"
"Dubrovnik-aerodrom","N",5,10.7,"vedro"
"Gruda A","S",1.5,1.7,"-"
"Prevlaka A","NE",3.4,9.3,"-"
"Palagruža A","NW",7,12.6,"-"
