"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","S",1.4,10.4,"umjereno oblačno"
"Puntijarka (Medvednica)","SW",3.4,6.2,"umjereno oblačno"
"Krapina A","C",0,9.6,"-"
"Varaždin","S",2.9,9.8,"pretežno oblačno"
"Križevci A","S",2.3,7.9,"-"
"Bilogora","S",1.5,8,"pretežno oblačno"
"Daruvar A","NW",0.8,9,"-"
"Bjelovar A","W",0.9,8.2,"-"
"Sisak A","N",1.3,9.9,"-"
"Gorice (kod Nove Gradiške)","NW",0.6,11.1,"vedro"
"Kutjevo A","SW",1.8,9.4,"-"
"Slavonski Brod","W",1.5,11.8,"umjereno oblačno"
"Osijek-Čepin","NW",3.1,9.7,"pretežno oblačno"
"Gradište","NW",2.9,10.2,"pretežno oblačno"
"Karlovac A","E",0.4,10.7,"-"
"Ogulin A","NE",1,10.2,"-"
"NP Plitvička jezera A","SW",0.8,11,"-"
"Gospić A","NW",0.4,11,"-"
"Parg-Čabar A","NE",0.3,8.1,"-"
"Pazin A","W",2.9,11.9,"-"
"Pula-aerodrom","W",4,11.7,"umjereno oblačno"
"Porer A","NW",4.2,12,"-"
"Opatija A","S",1.1,11.6,"-"
"Rijeka A","S",1.6,15,"-"
"Malinska A","NW",1.8,13.3,"-"
"Crikvenica A","W",0.5,13,"-"
"Senj A","SW",1.1,14.9,"-"
"Zavižan A","W",2.8,7.1,"-"
"Rab A","W",2.3,16,"-"
"Mali Lošinj A","W",3.9,12.5,"-"
"Zadar A","NW",3,14.6,"-"
"Veli Rat A","NW",5.2,13.6,"-"
"Knin A","SW",4,17.4,"-"
"Šibenik A","SW",1.9,16.7,"-"
"Split-Marjan","S",2.1,13.6,"vedro"
"Split-aerodrom","E",2,14.3,"umjereno oblačno"
"Hvar A","NW",3.1,15.4,"-"
"Ploče A","SW",3,15.2,"-"
"Dubrovnik A","SW",2.5,15.6,"-"
"Gruda A","SE",1.8,15.1,"-"
"Prevlaka A","NW",4.7,13.8,"-"
"Palagruža A","NW",5.2,13.2,"-"
