"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir A","N",1.4,3.1,"-"
"Puntijarka (Medvednica) A","E",4.2,0.1,"-"
"Krapina A","C",0,0,"-"
"Varaždin A","W",1,-1.2,"-"
"Križevci A","NW",1.5,0,"-"
"Bilogora A","NE",3.9,5,"-"
"Daruvar A","N",0.2,2,"-"
"Bjelovar A","S",0.5,0.3,"-"
"Sisak A","W",0.4,-0.1,"-"
"Gorice (kod Nove Gradiške) A","SE",2.1,3,"-"
"Kutjevo A","NE",5.8,6.2,"-"
"Slavonski Brod A","W",0.4,-2,"-"
"Osijek-Čepin A","W",4.4,2.7,"-"
"Gradište  A","W",4.5,2.6,"-"
"Karlovac A","SW",0.9,0.2,"-"
"Ogulin A","SW",1.6,1.3,"-"
"NP Plitvička jezera A","NE",0.3,0,"-"
"Gospić A","SW",0.2,-2.4,"-"
"Parg-Čabar A","SW",1.1,1.6,"-"
"Pazin A","SE",1.2,0,"-"
"Porer A","N",1.6,9.2,"-"
"Opatija A","N",0.3,6.4,"-"
"Rijeka A","N",1,6.2,"-"
"Malinska A","SE",1.2,5.1,"-"
"Crikvenica A","NE",0.6,4.7,"-"
"Senj A","NW",0.8,8,"-"
"Zavižan A","NW",3.1,1.3,"-"
"Rab A","NW",1.6,7.7,"-"
"Mali Lošinj A","NE",1.7,9.6,"-"
"Zadar A","SE",2.7,8.8,"-"
"Veli Rat A","NE",1.1,11,"-"
"Knin A","E",0.3,-0.7,"-"
"Šibenik A","NE",1.5,6,"-"
"Split-Marjan A","NE",1.9,10,"-"
"Hvar A","NW",2.3,10.5,"-"
"Ploče A","NE",1.6,3.1,"-"
"Dubrovnik A","NW",1.8,9.5,"-"
"Gruda A","N",0.5,-1.4,"-"
"Prevlaka A","NE",4.5,8.8,"-"
"Palagruža A","NW",4.3,12.5,"-"
