"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","NE","1.5",2.5,"vedro"
"Zagreb-aerodrom","NE","3.0",1.2,"pretežno vedro"
"Puntijarka (Medvednica)","E","3.1",1.1,"vedro"
"Krapina A","-","-",0.3,"-"
"Varaždin","E","0.5",-0.3,"vedro"
"Križevci A","NW","1.3",0.8,"-"
"Bilogora","NE","4.3",5.5,"vedro"
"Daruvar A","S","0.6",0.3,"-"
"Bjelovar A","SE","0.8",1.4,"-"
"Sisak A","C","0.0",0,"-"
"Gorice (kod Nove Gradiške)","E","1.7",4,"vedro"
"Kutjevo A","N","3.1",6.4,"-"
"Slavonski Brod","NW","0.9",-0.9,"vedro"
"Osijek-Čepin","W","2.9",3.1,"vedro"
"Osijek-aerodrom","W","6.0",2.8,"vedro"
"Gradište","W","3.5",5.7,"pretežno oblačno"
"Karlovac A","SW","0.4",-0.4,"-"
"Ogulin A","N","0.9",1.5,"-"
"NP Plitvička jezera A","NE","0.3",-0.1,"-"
"Gospić A","NW","0.5",-2.3,"-"
"Parg-Čabar A","S","0.7",1.7,"-"
"Pazin A","NE","0.2",-0.1,"-"
"Pula-aerodrom","E","3.0",3.1,"vedro"
"Porer A","E","2.0",9.8,"-"
"Opatija A","C","0.0",6.6,"-"
"Rijeka A","N","1.8",6.5,"-"
"Rijeka-aerodrom","N","2.0",5.9,"vedro"
"Malinska A","E","1.0",5.2,"-"
"Crikvenica A","NE","0.1",4.4,"-"
"Senj A","NE","0.5",7.6,"-"
"Zavižan A","W","1.8",2.5,"-"
"Rab A","NE","1.2",7.5,"-"
"Mali Lošinj A","NE","1.6",9.3,"-"
"Zadar A","E","0.3",7.9,"-"
"Zadar-aerodrom","C","0.0",0.4,"-"
"Veli Rat A","N","2.1",11.6,"-"
"Knin A","SE","0.5",0,"-"
"Šibenik A","NW","0.4",6.5,"-"
"Split-Marjan","S","1.5",10.6,"vedro"
"Split-aerodrom","W","2.0",11.1,"vedro"
"Hvar A","NE","2.5",9.8,"-"
"Ploče A","SE","1.1",4,"-"
"Dubrovnik A","NW","2.4",10,"-"
"Dubrovnik-aerodrom","N","6.0",10.3,"-"
"Gruda A","S","1.4",-0.8,"-"
"Prevlaka A","NE","4.6",8.7,"-"
"Palagruža A","NW","5.7",12.6,"-"
