"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir A","NE","1.6",3.7,"-"
"Puntijarka (Medvednica) A","SE","2.2",1.7,"-"
"Krapina A","-","-",0.1,"-"
"Varaždin A","E","0.6",-0.6,"-"
"Križevci A","S","0.7",1.7,"-"
"Bilogora A","NE","4.0",5.9,"-"
"Daruvar A","S","0.6",0.6,"-"
"Bjelovar A","S","0.5",1.2,"-"
"Sisak A","S","1.3",0.9,"-"
"Gorice (kod Nove Gradiške) A","NE","3.0",4.6,"-"
"Kutjevo A","NW","2.6",6,"-"
"Slavonski Brod A","NW","0.6",-0.1,"-"
"Osijek-Čepin A","NW","3.9",3.6,"-"
"Gradište  A","W","2.6",5.6,"-"
"Karlovac A","NW","1.2",-0.5,"-"
"Ogulin A","W","2.2",2.1,"-"
"NP Plitvička jezera A","NE","0.6",0.2,"-"
"Gospić A","SW","0.2",-2,"-"
"Parg-Čabar A","W","1.1",1.8,"-"
"Pazin A","S","0.4",0.3,"-"
"Porer A","SE","0.6",9.3,"-"
"Opatija A","W","1.1",6.9,"-"
"Rijeka A","NW","0.9",6.5,"-"
"Malinska A","SE","1.0",5.1,"-"
"Crikvenica A","N","0.4",6.2,"-"
"Senj A","E","0.2",7.1,"-"
"Zavižan A","SW","1.9",2.7,"-"
"Rab A","NE","1.4",7.7,"-"
"Mali Lošinj A","NE","1.5",9.2,"-"
"Zadar A","C","0.0",7.7,"-"
"Veli Rat A","NW","3.8",12.2,"-"
"Šibenik A","NW","0.9",7.4,"-"
"Split-Marjan A","SW","2.0",10.4,"-"
"Hvar A","NE","2.6",9.6,"-"
"Dubrovnik A","NW","2.2",10.2,"-"
"Gruda A","S","0.9",0,"-"
"Prevlaka A","NE","4.4",9,"-"
"Palagruža A","NW","5.6",12.7,"-"
