"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","S",1.3,9.8,"umjereno oblačno"
"Zagreb-aerodrom","C",0,11.6,"pretežno oblačno"
"Puntijarka (Medvednica)","SW",3.1,6.1,"umjereno oblačno"
"Krapina A","C",0,8.9,"-"
"Varaždin","S",2,9.1,"pretežno oblačno"
"Križevci A","S",2.5,8.5,"-"
"Bilogora","SW",3.2,7.9,"umjereno oblačno"
"Daruvar A","N",0.2,8.8,"-"
"Bjelovar A","S",1,8.4,"-"
"Sisak A","SE",1.3,9.9,"-"
"Gorice (kod Nove Gradiške)","S",1.2,10.5,"pretežno vedro"
"Kutjevo A","SW",1.7,8.2,"-"
"Slavonski Brod","W",2.6,10.2,"pretežno oblačno"
"Osijek-Čepin","NW",2.2,8.2,"pretežno oblačno"
"Osijek-aerodrom","W",4,8.2,"pretežno oblačno"
"Gradište","W",3.1,9.6,"pretežno oblačno"
"Karlovac A","C",0,8.9,"-"
"Ogulin A","E",0.8,9.2,"-"
"NP Plitvička jezera A","S",0.8,8.5,"-"
"Gospić A","W",0.3,11.1,"-"
"Parg-Čabar A","SE",0.5,7.1,"-"
"Pazin A","W",1.8,9.4,"-"
"Pula-aerodrom","W",3,10.9,"pretežno oblačno"
"Porer A","NW",4.3,11.6,"-"
"Opatija A","NE",1.2,10.7,"-"
"Rijeka A","SW",0.9,12.2,"-"
"Rijeka-aerodrom","C",0,12.1,"pretežno oblačno"
"Malinska A","C",0,12.9,"-"
"Crikvenica A","E",0.8,11.9,"-"
"Senj A","SE",1,13.4,"-"
"Zavižan A","SE",1.9,6,"-"
"Rab A","NW",2.3,13,"-"
"Mali Lošinj A","NW",2.5,11.8,"-"
"Zadar A","NW",3,13,"-"
"Zadar-aerodrom","NW",5,12.8,"pretežno vedro"
"Veli Rat A","NW",5.2,13.2,"-"
"Knin A","W",3.6,17,"-"
"Šibenik A","SW",1.9,15.1,"-"
"Split-Marjan","S",1.8,13.8,"vedro"
"Split-aerodrom","NE",1,13.6,"pretežno vedro"
"Hvar A","NW",2.6,15.2,"-"
"Ploče A","N",2,14.7,"-"
"Dubrovnik A","NW",2.9,15.2,"-"
"Dubrovnik-aerodrom","NW",6,12.8,"vedro"
"Gruda A","S",1,10.4,"-"
"Prevlaka A","NW",4,13.8,"-"
"Palagruža","NW",4.3,14.3,"umjereno oblačno"
