"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","N",0.8,2.1,"vedro"
"Zagreb-Grič","C",0,6.2,"vedro"
"Samobor","S",1,0.7,"vedro"
"Lekenik","NE",1,0,"mraz, vedro"
"Puntijarka (Medvednica)","NW",2.2,3.8,"vedro"
"Krapina","NW",1,2.1,"pretežno vedro"
"Varaždin","NE",1.6,2.4,"umjereno oblačno"
"Križevci","NW",1,3.2,"vedro"
"Bilogora","NE",4.7,7.5,"vedro"
"Daruvar","C",0,2.2,"vedro"
"Bjelovar","E",1.3,4.4,"vedro"
"Sisak","NE",0.3,2.6,"vedro"
"Gorice (kod Nove Gradiške)","E",1.9,5.2,"vedro"
"Kutjevo","NE",3.1,7.2,"vedro"
"Slavonski Brod","SE",0.3,3.6,"pretežno vedro"
"Valpovo-Tiborjanci","W",2,3.4,"pretežno vedro"
"Osijek-Čepin","W",1.3,5.3,"pretežno vedro"
"Beli Manastir","SW",1,4.2,"pretežno oblačno"
"Vinkovci-Novo Selo","NW",1,8,"pretežno oblačno"
"Ilok","NW",7,9.2,"pretežno oblačno"
"Račinovci","W",1,5,"umjereno oblačno"
"Gradište","E",1.4,7.8,"pretežno oblačno"
"Karlovac","S",1,1.9,"vedro"
"Bosiljevo","W",1,2.9,"vedro"
"Ogulin","W",2.3,4,"vedro"
"Plaški","N",1,4.7,"vedro"
"Otočac","NW",4,0.4,"vedro"
"Ličko Lešće","N",1,-0.8,"mraz, vedro"
"NP Plitvička jezera A","E",0.4,1.1,"-"
"Gospić","NE",0.4,0.7,"pretežno vedro"
"Gračac","NW",2,-1,"vedro"
"Parg-Čabar","W",0.7,4.9,"vedro"
"Pazin","C",0,2.5,"vedro"
"Čepić","E",2,5.2,"pretežno vedro"
"Pula-aerodrom","C",0,2.4,"vedro"
"Porer A","N",2.3,9.7,"-"
"Rovinj","E",2,4,"mraz, vedro"
"Poreč","E",2,4.1,"rosa, umjereno oblačno"
"Opatija A","C",0,7.4,"-"
"Rijeka","N",1.4,7.8,"vedro"
"Malinska A","NE",1.8,6.8,"-"
"Crikvenica A","NW",0.3,6.6,"-"
"Senj","E",0.7,8.7,"vedro"
"Zavižan","NW",2.1,2.4,"vedro"
"Rab","E",0.6,8.9,"pretežno vedro"
"Mali Lošinj","N",1.2,9.7,"rosa, vedro"
"Silba","N",1,7.6,"vedro"
"Zadar","E",1.1,9,"vedro"
"Veli Rat A","N",1.4,11.1,"-"
"Knin A","NW",1,4,"-"
"Drniš","S",1,7.1,"vedro"
"Šibenik","SE",1.4,8.5,"vedro"
"Sinj","C",0,2.8,"vedro"
"Split-Marjan","NE",2.2,11.2,"vedro"
"Split-aerodrom","NW",5,11,"vedro"
"Makarska","N",1,10.2,"vedro"
"Imotski","SW",2,8.2,"vedro"
"Hvar","N",2.7,10.4,"vedro"
"Komiža","N",1,11.2,"vedro"
"Ploče","SE",2.3,9.4,"pretežno vedro"
"Dubrovnik","NW",1.8,11.2,"vedro"
"Gruda A","E",1.3,2,"-"
"Prevlaka A","NE",4,9.6,"-"
"Lastovo","NW",4,11.3,"vedro"
"Palagruža A","NW",8.2,12.4,"-"
