"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","S",1,10.4,"pretežno vedro"
"Zagreb-Grič","S",1,11,"pretežno vedro"
"Samobor","SE",4,10.2,"pretežno vedro"
"Lekenik","E",2,11.4,"umjereno oblačno"
"Puntijarka (Medvednica)","W",1.2,5.8,"pretežno vedro"
"Krapina","SE",2,8.8,"pretežno oblačno"
"Varaždin","S",3.9,9.8,"umjereno oblačno"
"Križevci","SW",1.8,8.4,"pretežno vedro"
"Bilogora","W",1,7.9,"umjereno oblačno"
"Daruvar","W",1.6,9,"pretežno oblačno"
"Bjelovar","W",0.9,9.3,"pretežno vedro"
"Sisak","NE",1.4,10.1,"umjereno oblačno"
"Gorice (kod Nove Gradiške)","SW",1.5,11.1,"pretežno oblačno"
"Kutjevo","SW",2.1,8.8,"umjereno oblačno"
"Slavonski Brod","SW",2.3,10.6,"pretežno oblačno"
"Valpovo-Tiborjanci","W",2,10,"pretežno oblačno"
"Osijek-Čepin","NW",5.4,9.5,"pretežno oblačno"
"Beli Manastir","NW",2,9,"pretežno oblačno"
"Vinkovci-Novo Selo","NW",4,10.4,"pretežno oblačno"
"Ilok","NW",7,9.6,"vedro"
"Račinovci","W",4,10.4,"pretežno vedro"
"Gradište","NW",4.8,9.8,"pretežno oblačno"
"Karlovac","NE",1.3,10,"umjereno oblačno"
"Bosiljevo","N",1,10.3,"pretežno vedro"
"Ogulin","SE",1.4,10.4,"umjereno oblačno"
"Plaški","SE",1,10.8,"vedro"
"Otočac","SE",1,7.3,"vedro"
"Ličko Lešće","E",2,7.4,"pretežno vedro"
"NP Plitvička jezera A","NW",1.4,9.9,"-"
"Gospić","W",0.9,9.4,"pretežno vedro"
"Gračac","SW",2,11.4,"vedro"
"Parg-Čabar","NE",0.8,6.9,"pretežno oblačno"
"Pazin","W",2.4,14.1,"umjereno oblačno"
"Čepić","E",2,14.4,"pretežno vedro"
"Pula-aerodrom","W",5,12,"umjereno oblačno"
"Porer A","NW",4.3,11.9,"-"
"Rovinj","NW",2,11.2,"pretežno oblačno"
"Poreč","W",2,10.6,"pretežno vedro"
"Opatija A","SW",0.7,11.6,"-"
"Rijeka","SW",1.7,14.3,"umjereno oblačno"
"Malinska A","NW",1.7,13.2,"-"
"Crikvenica A","-",0.3,14,"-"
"Senj","SW",0.7,13.6,"pretežno vedro"
"Zavižan","W",7.6,7,"pretežno vedro"
"Rab","W",1.7,15.9,"umjereno oblačno"
"Mali Lošinj","W",3.3,14,"umjereno oblačno"
"Silba","W",1,14.6,"vedro"
"Zadar","NW",2.6,14.3,"pretežno vedro"
"Veli Rat A","NW",4.3,14,"-"
"Knin","SW",3,17.2,"pretežno vedro"
"Drniš","NW",4,15.9,"vedro"
"Šibenik","SW",2.1,17.5,"vedro"
"Sinj","E",2,15.4,"pretežno vedro"
"Split-Marjan","SW",1.8,13.6,"vedro"
"Split-aerodrom","SE",3,14.6,"vedro"
"Makarska","W",1,15.2,"vedro"
"Imotski","N",4,16.6,"pretežno vedro"
"Hvar","W",3.5,16.2,"pretežno vedro"
"Komiža","NW",2,17,"vedro"
"Ploče","SW",2.5,13.6,"vedro"
"Dubrovnik","SW",4.4,15.1,"vedro"
"Gruda A","NW",2.7,16.4,"-"
"Prevlaka A","NW",2.5,14.6,"-"
"Lastovo","N",4,14.5,"vedro"
"Palagruža A","NW",5.2,13.3,"-"
