"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","N","1.7",2.5,"potpuno oblačno"
"Samobor","SE","1.0",2.3,"pretežno oblačno"
"Puntijarka (Medvednica)","SE","4.4",1,"pretežno oblačno"
"Krapina","C","0.0",0.3,"pretežno oblačno"
"Bednja","-","-",-1.5,"umjereno oblačno"
"Varaždin","SW","0.5",-0.6,"pretežno oblačno"
"Križevci A","NW","0.5",-0.9,"-"
"Bilogora","SW","1.4",4.2,"pretežno vedro"
"Daruvar A","W","0.3",3.1,"-"
"Bjelovar A","E","0.1",-0.3,"-"
"Sisak","NE","0.6",0.3,"pretežno oblačno"
"Gorice (kod Nove Gradiške) A","N","1.8",0.8,"-"
"Kutjevo A","N","3.4",5.4,"-"
"Slavonski Brod","SW","0.9",-2.4,"umjereno oblačno"
"Osijek-Čepin","W","4.3",2.1,"vedro"
"Gradište","W","5.0",2.4,"umjereno oblačno"
"Karlovac","SE","1.0",0.9,"potpuno oblačno"
"Ogulin A","W","0.5",0,"-"
"Otočac","NE","2.0",-2.6,"umjereno oblačno"
"NP Plitvička jezera A","E","0.6",-0.1,"-"
"Gospić","N","0.5",-2.6,"magla uz vidljivo nebo"
"Parg-Čabar A","S","0.9",1.1,"-"
"Pazin A","SW","0.7",-1,"-"
"Pula-aerodrom","N","2.0",3.9,"vedro"
"Porer A","N","3.2",9.4,"-"
"Opatija A","NW","0.5",6.2,"-"
"Rijeka A","NE","0.1",5.4,"-"
"Malinska A","E","1.1",4.2,"-"
"Crikvenica A","N","0.4",3.7,"-"
"Senj A","NW","3.2",8.6,"-"
"Zavižan","NW","2.6",1.7,"vedro"
"Rab","SE","1.2",7.7,"pretežno vedro"
"Mali Lošinj A","W","2.0",8.8,"-"
"Zadar A","E","1.8",7.2,"-"
"Veli Rat A","SW","0.7",11,"-"
"Knin A","E","0.1",-0.3,"-"
"Šibenik","NE","0.8",6.1,"pretežno oblačno"
"Split-Marjan","NE","1.7",10.2,"pretežno oblačno"
"Split-aerodrom","E","2.0",7.4,"umjereno oblačno"
"Hvar A","NE","1.5",10.1,"-"
"Ploče A","E","2.2",2.8,"-"
"Dubrovnik","NW","0.9",9.5,"pretežno vedro"
"Gruda A","NE","1.6",0.4,"-"
"Prevlaka A","NE","5.8",8.4,"-"
