"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","N",1.2,2.3,"potpuno oblačno"
"Puntijarka (Medvednica)","SE",3.5,1.1,"pretežno oblačno"
"Krapina","C",0,-0.1,"pretežno oblačno"
"Varaždin","W",1.4,-1.1,"pretežno oblačno"
"Križevci A","NW",0.9,-1.3,"-"
"Bilogora","NW",1.3,4.8,"pretežno vedro"
"Daruvar A","SW",0.5,2.9,"-"
"Bjelovar A","NW",0.7,-0.3,"-"
"Sisak","NW",0.3,-0.4,"pretežno oblačno"
"Gorice (kod Nove Gradiške) A","NW",1.4,0.4,"-"
"Kutjevo A","N",5.1,5.6,"-"
"Slavonski Brod","SW",0.9,-1.9,"pretežno vedro"
"Osijek-Čepin","W",3.6,2.4,"vedro"
"Gradište","W",4,2.7,"umjereno oblačno"
"Karlovac","SE",0.1,0.7,"potpuno oblačno"
"Ogulin A","E",0.4,0.5,"-"
"NP Plitvička jezera A","SE",0.5,0.4,"-"
"Gospić","N",0.2,-2.4,"magla uz vidljivo nebo"
"Parg-Čabar A","S",2.2,1.4,"-"
"Pazin A","S",0.4,-1,"-"
"Pula-aerodrom","N",2,2.5,"vedro"
"Porer A","NW",3.9,10.6,"-"
"Opatija A","NW",0.3,6.2,"-"
"Rijeka A","N",1.4,6,"-"
"Malinska A","SE",1.2,4.4,"-"
"Crikvenica A","C",0,4.1,"-"
"Senj A","NW",2.1,7.8,"-"
"Zavižan","NW",3,1.8,"pretežno vedro"
"Rab","E",0.6,7.2,"pretežno vedro"
"Mali Lošinj A","SW",1.4,8.6,"-"
"Zadar A","E",1.9,7.6,"-"
"Veli Rat A","E",0.1,9.1,"-"
"Knin A","N",0.3,-0.6,"-"
"Šibenik","N",0.9,6.9,"pretežno oblačno"
"Split-Marjan","E",2.2,10.2,"potpuno oblačno"
"Split-aerodrom","NW",1,7.3,"potpuno oblačno"
"Hvar A","N",1.4,10,"-"
"Ploče A","NE",2.4,3,"-"
"Dubrovnik","NW",2.2,10,"pretežno vedro"
"Gruda A","S",1.5,-0.6,"-"
"Prevlaka A","NE",5.6,8.8,"-"
"Palagruža A","NW",3.4,12.3,"-"
