"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","SW","1.0",7.6,"pretežno vedro"
"Zagreb-Grič","SE","1.0",7.5,"pretežno vedro"
"Zagreb-aerodrom","W","1.0",4.9,"vedro"
"Puntijarka (Medvednica)","SE","4.9",1.6,"pretežno vedro"
"Krapina","C","0.0",4.3,"pretežno vedro"
"Varaždin","S","2.8",6.4,"umjereno oblačno"
"Križevci","SW","0.6",2.8,"umjereno oblačno"
"Bilogora","SW","1.8",5.6,"umjereno oblačno"
"Daruvar","NW","0.3",4.2,"pretežno oblačno"
"Bjelovar","NW","0.4",2.8,"pretežno oblačno"
"Sisak","NW","0.2",4,"umjereno oblačno"
"Gorice (kod Nove Gradiške)","SW","0.9",2.6,"pretežno oblačno"
"Kutjevo A","W","1.7",7.5,"-"
"Slavonski Brod","W","0.7",4.3,"umjereno oblačno"
"Osijek-Čepin","W","4.6",6.9,"pretežno vedro"
"Osijek-aerodrom","W","4.0",6.4,"vedro"
"Gradište","W","4.7",6.8,"vedro"
"Karlovac","E","0.7",4.5,"umjereno oblačno"
"Ogulin","SE","0.9",5,"vedro"
"NP Plitvička jezera A","SW","0.4",5.5,"-"
"Gospić","SW","0.6",-1.2,"magla uz vidljivo nebo"
"Parg-Čabar","S","0.9",4.1,"pretežno vedro"
"Pazin","C","0.0",1.7,"magla uz vidljivo nebo"
"Pula-aerodrom","N","2.0",10.1,"vedro"
"Porer A","N","1.4",11.6,"-"
"Opatija A","S","1.0",9.7,"-"
"Rijeka","SW","0.6",13,"pretežno vedro"
"Rijeka-aerodrom","C","0.0",10.8,"pretežno vedro"
"Malinska A","S","0.3",11,"-"
"Crikvenica A","W","0.5",7.5,"-"
"Senj","NW","1.3",10.3,"pretežno vedro"
"Zavižan","W","0.8",5.7,"vedro"
"Rab","C","0.0",11.2,"pretežno vedro"
"Mali Lošinj","NE","1.5",10.3,"vedro"
"Zadar","SE","1.4",11.1,"pretežno vedro"
"Zadar-aerodrom","SE","1.0",8,"vedro"
"Veli Rat A","NE","1.7",13.1,"-"
"Knin","SE","0.5",4.5,"pretežno vedro"
"Šibenik","NW","1.2",10.1,"vedro"
"Split-Marjan","NE","1.0",11.2,"umjereno oblačno"
"Split-aerodrom","C","0.0",12.4,"umjereno oblačno"
"Makarska","SE","2.0",11.6,"umjereno oblačno"
"Hvar","N","1.0",14.9,"pretežno oblačno"
"Komiža","S","1.0",14.9,"vedro"
"Ploče","NE","1.2",6.6,"umjereno oblačno"
"Dubrovnik","NW","2.2",12.2,"pretežno vedro"
"Dubrovnik-aerodrom","NE","5.0",13.3,"vedro"
"Gruda A","NE","1.1",12.1,"-"
"Prevlaka A","NE","0.6",12.8,"-"
"Lastovo","NW","1.0",13.6,"pretežno vedro"
"Palagruža","W","-",13.4,"umjereno oblačno"
