"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","SW",1.4,8,"pretežno oblačno"
"Zagreb-Grič","SE",1,8,"pretežno oblačno"
"Puntijarka (Medvednica)","S",3.9,2.3,"pretežno oblačno"
"Krapina","C",0,7,"umjereno oblačno"
"Varaždin","S",3.4,7.5,"umjereno oblačno"
"Križevci","SW",1.5,7.2,"pretežno oblačno"
"Bilogora","W",2.8,6.8,"pretežno oblačno"
"Daruvar","W",1.3,6.4,"pretežno oblačno"
"Bjelovar","NW",0.9,4.8,"pretežno oblačno"
"Sisak","S",0.4,8,"umjereno oblačno"
"Gorice (kod Nove Gradiške)","S",0.7,5.1,"pretežno oblačno"
"Kutjevo A","S",2.5,7.5,"-"
"Slavonski Brod","SW",2.7,8,"pretežno vedro"
"Osijek-Čepin","NW",5.1,8.2,"pretežno vedro"
"Gradište","NW",5.2,8.8,"vedro"
"Karlovac","NE",0.7,6.9,"pretežno vedro"
"Ogulin","S",0.7,7.8,"pretežno vedro"
"NP Plitvička jezera A","W",0.9,7.3,"-"
"Gospić","W",1.2,1,"pretežno vedro"
"Parg-Čabar","E",0.9,4.9,"pretežno vedro"
"Pazin","NW",0.2,5.8,"pretežno vedro"
"Pula-aerodrom","NW",2,12,"pretežno vedro"
"Porer A","N",3.4,12.5,"-"
"Opatija A","SW",2,11,"-"
"Rijeka","S",1.3,13.6,"pretežno vedro"
"Malinska A","C",0,12.3,"-"
"Crikvenica A","SW",0.4,9,"-"
"Senj","SW",1.7,11.8,"umjereno oblačno"
"Zavižan","NW",1.2,5.9,"vedro"
"Rab","SE",0.8,13.7,"pretežno vedro"
"Mali Lošinj A","NE",1.2,11.7,"-"
"Zadar","SW",1.2,12.6,"pretežno vedro"
"Veli Rat A","NE",2.5,13.6,"-"
"Knin A","S",0.4,10,"-"
"Šibenik","N",4.2,12.8,"vedro"
"Split-Marjan","N",0.4,12.2,"vedro"
"Split-aerodrom","SE",1,13,"vedro"
"Makarska","S",1,12.8,"vedro"
"Hvar","NW",2.1,16.3,"vedro"
"Komiža","S",2,16.1,"vedro"
"Ploče","SE",1.4,10.8,"pretežno vedro"
"Dubrovnik","SW",2.7,14,"vedro"
"Gruda A","W",2.5,16.7,"-"
"Prevlaka A","SE",2.1,13.5,"-"
"Lastovo","NW",2,13.5,"pretežno vedro"
