"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","S","1.7",10.2,"pretežno vedro"
"Zagreb-Grič","E","1.0",10.5,"pretežno vedro"
"Zagreb-aerodrom","E","1.0",10.4,"pretežno vedro"
"Samobor","SE","1.0",10,"pretežno vedro"
"Puntijarka (Medvednica)","SE","2.4",5.1,"pretežno vedro"
"Krapina","S","2.0",9,"pretežno oblačno"
"Varaždin","S","3.9",9.1,"umjereno oblačno"
"Križevci","SW","2.1",7.2,"potpuno oblačno"
"Koprivnica","-","-",8.3,"potpuno oblačno"
"Bilogora","N","1.5",7.8,"pretežno oblačno"
"Slatina","-","-",8.4,"pretežno vedro"
"Virovitica","-","-",8.7,"umjereno oblačno"
"Daruvar","SW","1.9",8.8,"umjereno oblačno"
"Lipik","W","2.0",9.4,"pretežno oblačno"
"Bjelovar","NW","0.7",7.8,"pretežno oblačno"
"Kutina","SE","2.0",10.8,"pretežno oblačno"
"Sisak","NE","1.8",10.2,"umjereno oblačno"
"Hrvatska Kostajnica","SW","2.0",10.4,"umjereno oblačno"
"Gorice (kod Nove Gradiške)","SW","2.0",9.8,"umjereno oblačno"
"Požega","W","2.0",10.8,"umjereno oblačno"
"Kutjevo","SW","2.4",8.8,"umjereno oblačno"
"Slavonski Brod","W","3.6",10,"pretežno oblačno"
"Đakovo","NW","4.0",10,"pretežno oblačno"
"Osijek-Čepin","NW","5.6",8.7,"pretežno oblačno"
"Osijek-aerodrom","W","7.0",8.9,"umjereno oblačno"
"Brestovac","W","2.0",9.5,"umjereno oblačno"
"Beli Manastir","NW","2.0",9.8,"pretežno oblačno"
"Vukovar","-","-",9.2,"vedro"
"Gradište","NW","5.9",9.8,"pretežno oblačno"
"Karlovac","SE","1.1",10.3,"umjereno oblačno"
"Ogulin","SE","0.5",10.2,"vedro"
"Otočac","S","1.0",4.7,"vedro"
"Slunj","NW","1.0",9.5,"vedro"
"NP Plitvička jezera A","W","1.6",9.2,"-"
"Gospić","W","0.8",7.7,"pretežno vedro"
"Crni Lug-NP Risnjak","SE","1.0",8.8,"vedro"
"Delnice","NE","2.0",5.5,"vedro"
"Parg-Čabar","E","1.4",6.5,"pretežno vedro"
"Pazin","NW","1.1",13.2,"umjereno oblačno"
"Pula","NW","2.0",11.9,"potpuno oblačno"
"Pula-aerodrom","W","4.0",12.6,"pretežno vedro"
"Porer A","NW","3.8",12.3,"-"
"Sv. Ivan na pučini","NW","1.0",12,"umjereno oblačno"
"Poreč","W","2.0",10.9,"pretežno vedro"
"Opatija A","SE","1.0",10.7,"-"
"Kukuljanovo","-","-",14,"vedro"
"Bakar","-","-",12.5,"pretežno vedro"
"Krk","SW","1.0",14.4,"pretežno vedro"
"Rijeka","SW","1.6",14.8,"pretežno vedro"
"Rijeka-aerodrom","N","2.0",13.8,"pretežno vedro"
"Malinska A","W","1.2",12.3,"-"
"Crikvenica A","SW","0.1",13.3,"-"
"Senj","NW","2.3",11.8,"pretežno vedro"
"Zavižan","NW","13.9",6.6,"vedro, jak vjetar"
"Rab","SW","1.5",16,"pretežno vedro"
"Mali Lošinj","W","0.7",13.4,"vedro"
"Zadar","W","2.5",13.1,"pretežno vedro"
"Zadar-aerodrom","NW","2.0",15.1,"vedro"
"Božava","NW","2.0",14.5,"vedro"
"Veli Rat A","NW","2.8",14,"-"
"Knin","SW","1.0",16.5,"pretežno vedro"
"Šibenik","NW","2.7",16.1,"vedro"
"Sinj","SW","2.0",13.1,"umjereno oblačno"
"Split-Marjan","SW","1.8",13.6,"pretežno vedro"
"Split-aerodrom","SW","4.0",15.7,"pretežno vedro"
"Makarska","W","2.0",14.2,"pretežno vedro"
"Imotski","NW","2.0",16.7,"pretežno vedro"
"Hvar","N","2.2",16.3,"pretežno vedro"
"Komiža","NW","2.0",16.4,"vedro"
"Ploče","SW","2.4",15,"vedro"
"Metković","NE","2.0",15.1,"vedro"
"NP Mljet","W","2.0",16.8,"vedro"
"Dubrovnik","SW","4.0",15.1,"vedro"
"Dubrovnik-aerodrom","NW","5.0",13.4,"vedro"
"Gruda A","W","2.9",16.5,"-"
"Prevlaka A","SW","1.6",15,"-"
"Lastovo","NW","4.0",13.3,"vedro"
"Palagruža","NW","3.9",14.2,"umjereno oblačno"
