"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir A","NW",1.2,3.3,"-"
"Puntijarka (Medvednica) A","SW",1.6,3.9,"-"
"Varaždin A","E",0.6,0.2,"-"
"Križevci A","NE",2.5,2.8,"-"
"Bilogora A","E",2.9,6,"-"
"Daruvar A","SE",0.7,0.9,"-"
"Bjelovar A","E",0.4,2,"-"
"Sisak A","SE",0.6,1.4,"-"
"Gorice (kod Nove Gradiške) A","NE",3,4.8,"-"
"Kutjevo A","E",0.7,4,"-"
"Slavonski Brod A","NE",0.3,0.3,"-"
"Osijek-Čepin A","W",2.7,2.9,"-"
"Gradište  A","SW",2.2,6.3,"-"
"Karlovac A","W",0.2,0,"-"
"Ogulin A","NW",2.4,2.2,"-"
"NP Plitvička jezera A","E",0.3,0.2,"-"
"Gospić A","SW",0.6,-1,"-"
"Parg-Čabar A","NW",0.6,2.7,"-"
"Pazin A","SE",0.2,1.1,"-"
"Porer A","N",2.9,9.7,"-"
"Opatija A","N",1.3,7,"-"
"Rijeka A","N",1.7,9.4,"-"
"Malinska A","E",1.1,6.1,"-"
"Crikvenica A","NE",0.4,4.9,"-"
"Senj A","NE",0.6,7.4,"-"
"Zavižan A","NW",1.9,2,"-"
"Rab A","NW",1.5,8,"-"
"Mali Lošinj A","W",0.8,8.7,"-"
"Zadar A","C",0,8,"-"
"Veli Rat A","NW",3.5,12.3,"-"
"Knin A","SW",0.2,1.6,"-"
"Šibenik A","SE",1.5,8,"-"
"Split-Marjan A","SE",2,10.7,"-"
"Hvar A","NE",3,9.8,"-"
"Dubrovnik A","NW",2.4,9.9,"-"
"Gruda A","SE",1,0.3,"-"
"Prevlaka A","NE",4,9.4,"-"
"Palagruža A","NW",5.6,12.4,"-"
