"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","N","1.5",3.4,"potpuno oblačno"
"Zagreb-Grič","NE","1.0",5.9,"pretežno oblačno"
"Zagreb-aerodrom","NE","2.0",1.5,"pretežno oblačno"
"Samobor","SE","2.0",3.1,"pretežno oblačno"
"Lekenik","W","1.0",0,"mraz, potpuno oblačno"
"Puntijarka (Medvednica)","SE","4.2",0.8,"pretežno oblačno"
"Krapina","C","0.0",0.4,"pretežno oblačno"
"Bednja","-","-",-1.1,"pretežno oblačno"
"Varaždin","NW","0.6",0.4,"pretežno oblačno"
"Križevci","C","0.0",-0.8,"pretežno oblačno"
"Koprivnica","-","-",-0.2,"pretežno vedro"
"Bilogora","NW","2.2",4.2,"pretežno vedro"
"Slatina","-","-",1.4,"pretežno vedro"
"Virovitica","-","-",0,"pretežno oblačno"
"Daruvar","N","0.2",2.8,"umjereno oblačno"
"Lipik","NE","2.0",-0.4,"pretežno oblačno"
"Bjelovar","N","0.8",-0.1,"pretežno oblačno"
"Kutina","NE","1.0",1.2,"pretežno oblačno"
"Sisak","E","0.8",1.2,"pretežno oblačno"
"Hrvatska Kostajnica","SW","1.0",-0.8,"pretežno oblačno"
"Gorice (kod Nove Gradiške)","N","1.7",1.9,"pretežno oblačno"
"Požega","W","2.0",0.4,"umjereno oblačno"
"Kutjevo","N","6.0",5.5,"pretežno oblačno"
"Slavonski Brod","SW","1.1",-2.2,"umjereno oblačno"
"Đakovo","NW","1.0",3,"pretežno vedro"
"Valpovo-Tiborjanci","W","2.0",0.6,"mraz, pretežno vedro"
"Osijek-Čepin","W","4.7",2.6,"vedro"
"Osijek-aerodrom","W","5.0",1.3,"vedro"
"Brestovac","W","1.0",2.1,"pretežno oblačno"
"Beli Manastir","SW","1.0",-0.1,"umjereno oblačno"
"Vukovar","-","-",3.1,"vedro"
"Vinkovci-Novo Selo","W","1.0",4.3,"vedro"
"Ilok","W","7.0",3,"vedro"
"Račinovci","W","2.0",3.2,"vedro"
"Gradište","SW","3.7",2.2,"vedro"
"Karlovac","SE","0.3",0.9,"potpuno oblačno"
"Bosiljevo","SE","1.0",1.1,"umjereno oblačno"
"Ogulin","E","0.5",0,"umjereno oblačno"
"Plaški","NE","1.0",-1.1,"mraz, pretežno vedro"
"Otočac","NE","1.0",-2.4,"magla"
"Ličko Lešće","E","2.0",-2,"magla"
"Slunj","NW","1.0",1,"magla uz vidljivo nebo"
"NP Plitvička jezera A","SE","0.3",0,"-"
"Gospić","NW","0.3",-3.2,"magla uz vidljivo nebo"
"Gračac","SW","2.0",-2.4,"mraz, potpuno oblačno"
"Crni Lug-NP Risnjak","NE","1.0",-3.7,"vedro"
"Delnice","W","2.0",-1.6,"vedro"
"Parg-Čabar","S","2.2",-0.2,"pretežno vedro"
"Pazin","SW","0.6",-0.8,"vedro"
"Čepić","N","1.0",-1,"magla"
"Pula","C","0.0",5.5,"pretežno oblačno"
"Pula-aerodrom","N","3.0",5.4,"vedro"
"Porer A","N","5.0",9.2,"-"
"Rovinj","NE","2.0",4.8,"mraz, potpuno oblačno"
"Sv. Ivan na pučini","N","1.0",8.6,"umjereno oblačno"
"Poreč","SE","2.0",4.2,"pretežno oblačno"
"Opatija A","SW","1.0",6.2,"-"
"Kukuljanovo","NE","1.0",6.2,"vedro"
"Bakar","-","-",7,"pretežno vedro"
"Krk","NW","1.0",5.2,"vedro"
"Rijeka","NE","0.9",6.7,"vedro"
"Rijeka-aerodrom","C","0.0",5,"pretežno vedro"
"Malinska A","SE","1.3",3.6,"-"
"Senj","SE","1.0",9.1,"vedro"
"Zavižan","NW","2.7",3,"vedro"
"Rab","NE","1.5",7.1,"pretežno vedro"
"Mali Lošinj","NE","1.4",9,"pretežno vedro"
"Silba","N","1.0",7.8,"rosa, vedro"
"Zadar","E","2.0",7.4,"umjereno oblačno"
"Zadar-aerodrom","N","1.0",0.1,"pretežno vedro"
"Božava","W","2.0",6.8,"umjereno oblačno"
"Veli Rat A","NW","1.8",10.3,"-"
"Knin","SE","0.9",0.2,"pretežno oblačno"
"Drniš","SE","2.0",1.6,"rosa, pretežno oblačno"
"Šibenik","SE","1.0",6.2,"pretežno oblačno"
"Sinj","N","1.0",-2.1,"mraz, pretežno oblačno"
"Split-Marjan","NE","2.5",10.2,"pretežno oblačno"
"Split-aerodrom","W","1.0",7.8,"umjereno oblačno"
"Makarska","SE","2.0",10.4,"potpuno oblačno"
"Imotski","NW","2.0",9.2,"pretežno oblačno"
"Hvar","E","1.6",8.6,"pretežno oblačno"
"Komiža","N","1.0",9.7,"vedro"
"Ploče","E","0.6",3,"umjereno oblačno"
"Metković","NE","4.0",2,"pretežno vedro"
"NP Mljet","NE","1.0",9.4,"umjereno oblačno"
"Dubrovnik","NW","2.2",8.7,"pretežno vedro"
"Dubrovnik-aerodrom","N","5.0",10.4,"pretežno oblačno"
"Gruda A","SE","1.5",0,"-"
"Prevlaka A","NE","4.9",8.4,"-"
"Lastovo","N","1.0",11.6,"pretežno vedro"
"Palagruža","NW","-",11.3,"umjereno oblačno"
