"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","NW",0.8,4.4,"pretežno oblačno"
"Zagreb-Grič","E",1,6.1,"pretežno oblačno"
"Puntijarka (Medvednica)","SE",4.3,1.1,"pretežno oblačno"
"Krapina","C",0,1.8,"umjereno oblačno"
"Varaždin","S",1.8,2.2,"pretežno oblačno"
"Križevci","NW",0.6,0.6,"pretežno oblačno"
"Bilogora","SW",1.4,4.9,"pretežno oblačno"
"Daruvar","W",0.2,2.4,"pretežno oblačno"
"Bjelovar","SE",0.6,1.4,"potpuno oblačno"
"Sisak","C",0,1.9,"pretežno oblačno"
"Gorice (kod Nove Gradiške)","S",1.3,1.6,"pretežno oblačno"
"Kutjevo A","N",4.9,7.6,"-"
"Slavonski Brod","W",0.8,0.4,"pretežno oblačno"
"Osijek-Čepin","W",4.3,4.4,"pretežno vedro"
"Gradište","W",3.9,4.6,"vedro"
"Karlovac","SE",0.7,1.4,"umjereno oblačno"
"Ogulin","NW",1.5,1.8,"vedro"
"NP Plitvička jezera A","S",0.5,0.1,"-"
"Gospić","N",0.3,-3.4,"magla uz vidljivo nebo"
"Parg-Čabar","SE",1.2,1.8,"pretežno vedro"
"Pazin","E",0.2,-0.1,"magla"
"Pula-aerodrom","N",3,7.8,"rosa, vedro"
"Porer A","N",5.1,10.1,"-"
"Opatija A","SW",1.6,8.2,"-"
"Rijeka","C",0,10.1,"vedro"
"Malinska A","SE",1.3,6.6,"-"
"Senj","E",2.8,11.4,"vedro"
"Zavižan","W",2.9,4.5,"vedro"
"Rab","SE",0.4,8.6,"pretežno vedro"
"Mali Lošinj A","NE",1.7,9.7,"-"
"Zadar","SE",1.4,9,"pretežno vedro"
"Veli Rat A","NE",1.5,12.6,"-"
"Knin A","E",1.5,1,"-"
"Šibenik","W",1.1,7.2,"umjereno oblačno"
"Split-Marjan","SW",1.6,10.2,"pretežno oblačno"
"Split-aerodrom","C",0,8.6,"umjereno oblačno"
"Makarska","SE",2,10.8,"pretežno oblačno"
"Hvar","NE",0.3,11.8,"pretežno oblačno"
"Komiža","N",1,12.3,"pretežno vedro"
"Ploče","E",1.8,4.2,"umjereno oblačno"
"Dubrovnik","NW",2.1,9.5,"umjereno oblačno"
"Gruda A","SW",1.1,5.5,"-"
"Prevlaka A","NE",2.3,10.5,"-"
"Lastovo","W",1,13,"umjereno oblačno"
