"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","SW",1.6,9.3,"pretežno vedro"
"Zagreb-Grič","S",1,9.2,"pretežno vedro"
"Puntijarka (Medvednica)","S",1.9,4.3,"pretežno vedro"
"Krapina","SE",2,8.2,"pretežno oblačno"
"Varaždin","S",3.3,8.3,"pretežno oblačno"
"Križevci","SW",2.2,7,"pretežno oblačno"
"Bilogora","W",2,7.7,"pretežno oblačno"
"Daruvar","W",2.2,7.6,"umjereno oblačno"
"Bjelovar","W",1.1,7.6,"umjereno oblačno"
"Sisak","NE",1.8,9,"umjereno oblačno"
"Gorice (kod Nove Gradiške)","SW",1.1,7.2,"pretežno oblačno"
"Kutjevo A","SW",2.7,8.5,"-"
"Slavonski Brod","W",2.4,9.4,"pretežno oblačno"
"Osijek-Čepin","NW",6.1,8.8,"pretežno vedro"
"Gradište","NW",6.1,9.4,"vedro"
"Karlovac","NE",0.6,8.9,"pretežno vedro"
"Ogulin","N",1,8.7,"vedro"
"NP Plitvička jezera A","W",1.3,8.5,"-"
"Gospić","S",0.5,4.6,"pretežno vedro"
"Parg-Čabar","E",1.2,5.6,"pretežno vedro"
"Pazin","NW",0.5,11.2,"pretežno vedro"
"Pula-aerodrom","W",3,12.7,"vedro"
"Porer A","NW",2,13.5,"-"
"Rijeka","S",1.2,14,"pretežno vedro"
"Malinska A","W",1.2,12.1,"-"
"Crikvenica A","C",0,11.8,"-"
"Senj","W",2.1,12.1,"pretežno vedro"
"Zavižan","W",2.7,6.5,"vedro"
"Rab","SW",2.1,14.2,"umjereno oblačno"
"Mali Lošinj A","NE",1.3,13.1,"-"
"Zadar","W",2.3,13,"pretežno vedro"
"Veli Rat A","NE",2.1,13.9,"-"
"Knin A","N",0.6,14.7,"-"
"Šibenik","NW",3.4,14.6,"vedro"
"Split-Marjan","NE",0.7,12.9,"pretežno vedro"
"Split-aerodrom","SE",2,14.5,"pretežno vedro"
"Makarska","SW",2,13.9,"pretežno vedro"
"Hvar","NW",2.3,16.1,"vedro"
"Komiža","NW",2,15.8,"vedro"
"Ploče","NE",0.6,13.4,"vedro"
"Dubrovnik","SW",2.5,14.2,"vedro"
"Gruda A","SW",3.1,16.4,"-"
"Prevlaka A","SW",2.4,15.4,"-"
"Lastovo","NW",4,13.6,"vedro"
