"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir A","N",1.5,1.3,"-"
"Puntijarka (Medvednica) A","E",2.5,1,"-"
"Krapina A","C",0,-0.3,"-"
"Varaždin A","W",0.7,-1.4,"-"
"Križevci A","N",0.6,-0.1,"-"
"Bilogora A","-",4.4,5.4,"-"
"Daruvar A","W",0.6,2,"-"
"Bjelovar A","SE",0.4,0.3,"-"
"Sisak A","NW",0.6,-0.2,"-"
"Gorice (kod Nove Gradiške) A","SE",2.5,3.3,"-"
"Kutjevo A","N",2.8,6.2,"-"
"Slavonski Brod A","S",0.6,-1,"-"
"Osijek-Čepin A","W",3.3,2.3,"-"
"Gradište  A","NW",3.8,3.9,"-"
"Karlovac A","NE",0.3,-0.9,"-"
"Ogulin A","NW",1.8,1.5,"-"
"NP Plitvička jezera A","S",0.6,-0.3,"-"
"Gospić A","E",0.4,-2.7,"-"
"Parg-Čabar A","SW",1.5,2.1,"-"
"Pazin A","SE",0.4,0,"-"
"Porer A","NE",1.4,9.5,"-"
"Opatija A","NW",0.6,6.5,"-"
"Rijeka A","NE",0.4,6.5,"-"
"Malinska A","E",0.8,4.9,"-"
"Crikvenica A","N",0.7,4.1,"-"
"Senj A","SE",0.3,7.5,"-"
"Zavižan A","NW",2.4,1,"-"
"Rab A","N",1,7.4,"-"
"Mali Lošinj A","NE",1.4,9.1,"-"
"Zadar A","NE",2,7.5,"-"
"Veli Rat A","N",1.1,11,"-"
"Knin A","SW",0.9,-1.1,"-"
"Šibenik A","N",1.7,4.7,"-"
"Split-Marjan A","SE",2.6,10.3,"-"
"Hvar A","N",2,10.2,"-"
"Ploče A","NE",2.8,4.1,"-"
"Dubrovnik A","W",1.9,10.3,"-"
"Gruda A","SW",1.2,-0.7,"-"
"Prevlaka A","NE",5.1,8.8,"-"
"Palagruža A","NW",5.1,12.6,"-"
