"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","NE",0.4,3.4,"pretežno oblačno"
"Zagreb-Grič","NE",1,5.8,"pretežno oblačno"
"Puntijarka (Medvednica)","SE",4.7,0.7,"pretežno oblačno"
"Krapina","S",1,0.8,"pretežno oblačno"
"Varaždin","C",0,0.5,"pretežno oblačno"
"Križevci","NE",0.5,0.1,"pretežno oblačno"
"Bilogora","W",1.5,4.4,"umjereno oblačno"
"Daruvar","NW",0.5,2.4,"pretežno oblačno"
"Bjelovar","NE",0.7,0.7,"pretežno oblačno"
"Sisak","NW",0.6,1.4,"pretežno oblačno"
"Gorice (kod Nove Gradiške)","SW",0.4,2,"pretežno oblačno"
"Kutjevo A","-",6,6.4,"-"
"Slavonski Brod","W",0.6,-0.6,"pretežno oblačno"
"Osijek-Čepin","W",3.3,2.2,"pretežno vedro"
"Gradište","W",3.8,2.6,"vedro"
"Karlovac","SE",0.5,1.1,"pretežno oblačno"
"Ogulin","W",0.2,-0.5,"pretežno vedro"
"NP Plitvička jezera A","NE",0.5,-0.2,"-"
"Gospić","SW",0.3,-3.1,"magla uz vidljivo nebo"
"Parg-Čabar","S",1.1,0.1,"vedro"
"Pazin","W",0.2,-0.9,"potpuno oblačno"
"Pula-aerodrom","N",2,6,"rosa, vedro"
"Porer A","N",5.4,9.4,"-"
"Opatija A","SW",0.2,6.2,"-"
"Rijeka","NE",0.9,6.9,"vedro"
"Malinska A","E",1,4.2,"-"
"Senj","E",3.2,11,"vedro"
"Zavižan","W",2.4,3.2,"vedro"
"Rab","NE",1.3,7.2,"pretežno vedro"
"Mali Lošinj A","N",1.1,9.2,"-"
"Zadar","NE",1.5,6.9,"umjereno oblačno"
"Veli Rat A","N",1,10.7,"-"
"Knin A","SE",1.2,0.2,"-"
"Šibenik","E",1.9,8.3,"pretežno oblačno"
"Split-Marjan","NE",2.2,10.3,"pretežno oblačno"
"Split-aerodrom","W",2,7.8,"pretežno oblačno"
"Makarska","SE",2,10,"pretežno oblačno"
"Hvar","NE",0.4,10,"pretežno oblačno"
"Komiža","N",2,9.7,"umjereno oblačno"
"Ploče","E",2.4,3.5,"umjereno oblačno"
"Dubrovnik","NW",1.9,9.2,"umjereno oblačno"
"Gruda A","NE",0.5,0.7,"-"
"Prevlaka A","NE",4.1,9.1,"-"
"Lastovo","NW",2,11.8,"pretežno vedro"
