"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","N",1.2,1.6,"pretežno oblačno"
"Zagreb-aerodrom","NE",1,1.4,"pretežno oblačno"
"Puntijarka (Medvednica)","SE",3.4,0.9,"umjereno oblačno"
"Krapina","W",2,-0.3,"pretežno oblačno"
"Varaždin","SW",1.1,-1.4,"umjereno oblačno"
"Križevci A","NW",0.2,-0.7,"-"
"Bilogora","NE",2.9,4.7,"pretežno vedro"
"Daruvar A","NE",0.5,1.4,"-"
"Bjelovar A","S",0.7,0.8,"-"
"Sisak","N",0.1,0,"umjereno oblačno"
"Gorice (kod Nove Gradiške) A","N",0.2,0.9,"-"
"Kutjevo A","NE",4.9,5.8,"-"
"Slavonski Brod","S",0.3,-1.9,"vedro"
"Osijek-Čepin","W",4.1,2.7,"vedro"
"Osijek-aerodrom","W",4,1.4,"vedro"
"Gradište","W",4.9,3,"pretežno oblačno"
"Karlovac","SE",0.4,0.5,"potpuno oblačno"
"Ogulin A","SW",1,0.7,"-"
"NP Plitvička jezera A","NE",0.5,0,"-"
"Gospić","SW",0.4,-2.4,"magla uz vidljivo nebo"
"Parg-Čabar A","SE",1.3,1.6,"-"
"Pazin A","W",0.8,-1,"-"
"Pula-aerodrom","NE",1,1.5,"umjereno oblačno"
"Porer A","W",1.8,10.1,"-"
"Opatija A","SW",0.2,6.5,"-"
"Rijeka A","N",0.9,6.6,"-"
"Rijeka-aerodrom","C",0,6.3,"pretežno vedro"
"Malinska A","E",0.9,5,"-"
"Crikvenica A","NW",0.2,4.9,"-"
"Senj A","NW",1.8,10.5,"-"
"Zavižan","NW",4.1,2.3,"pretežno oblačno"
"Rab","E",2.2,8,"pretežno oblačno"
"Mali Lošinj A","NE",1.3,9.6,"-"
"Zadar A","E",2.5,7.7,"-"
"Zadar-aerodrom","SE",2,1.6,"vedro"
"Veli Rat A","NE",0.2,10,"-"
"Knin A","SE",0.7,-0.7,"-"
"Šibenik","SE",0.8,5.3,"pretežno oblačno"
"Split-Marjan","N",2,10.2,"pretežno oblačno"
"Split-aerodrom","N",2,7.1,"umjereno oblačno"
"Hvar A","NW",1.3,10.3,"-"
"Ploče A","NW",1.1,3.3,"-"
"Dubrovnik","NW",2.1,9.5,"pretežno vedro"
"Dubrovnik-aerodrom","NE",7,9.6,"pretežno vedro"
"Gruda A","SE",1.3,-1.2,"-"
"Prevlaka A","NE",4.2,8.3,"-"
"Palagruža","NW",3.7,11.8,"umjereno oblačno"
