"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","W","0.9",6.1,"potpuno oblačno"
"Puntijarka (Medvednica)","SW","4.7",6.8,"pretežno oblačno"
"Krapina A","-","-",6.1,"-"
"Varaždin A","S","2.7",6.9,"-"
"Križevci A","SW","1.7",6.8,"-"
"Bilogora","S","4.3",6.8,"pretežno oblačno"
"Daruvar A","SE","0.9",5.5,"-"
"Bjelovar A","S","0.9",6.8,"-"
"Sisak A","E","0.8",5.7,"-"
"Gorice (kod Nove Gradiške)","SE","1.3",7.5,"pretežno vedro"
"Kutjevo A","W","0.4",6.8,"-"
"Slavonski Brod A","NW","0.6",6.6,"-"
"Osijek-Čepin A","S","1.6",7.4,"-"
"Gradište","E","1.1",8,"pretežno oblačno"
"Karlovac A","S","0.1",4.8,"-"
"Ogulin A","SW","0.2",5.5,"-"
"NP Plitvička jezera A","S","0.5",4.7,"-"
"Gospić A","SE","0.6",5.8,"-"
"Parg-Čabar A","S","0.9",5.3,"-"
"Pazin A","S","0.4",7.1,"-"
"Pula-aerodrom","N","1.0",8.1,"potpuno oblačno"
"Porer A","NW","3.1",10.8,"-"
"Opatija A","N","0.4",9.6,"-"
"Rijeka A","N","0.7",9.6,"-"
"Malinska A","E","0.3",9.2,"-"
"Crikvenica A","C","0.0",10,"-"
"Senj A","SE","1.4",10.9,"-"
"Zavižan A","SE","3.0",4,"-"
"Rab A","N","1.4",10.9,"-"
"Mali Lošinj A","W","2.8",10.8,"-"
"Zadar A","NW","2.9",12.1,"-"
"Veli Rat A","NW","4.3",12.8,"-"
"Knin A","S","2.2",11.6,"-"
"Šibenik A","N","1.6",10.8,"-"
"Split-Marjan A","SW","1.5",12.5,"-"
"Split-aerodrom","N","1.0",11,"umjereno oblačno"
"Hvar A","NW","2.0",12.1,"-"
"Ploče A","NE","0.1",8.7,"-"
"Dubrovnik A","NW","3.2",13.1,"-"
"Gruda A","NE","1.2",6.8,"-"
"Prevlaka A","NE","3.3",12.2,"-"
