"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","S",0.7,5.3,"potpuno oblačno"
"Zagreb-Grič","S",1,7.9,"pretežno oblačno"
"Zagreb-aerodrom","S",1,5.3,"pretežno oblačno"
"Puntijarka (Medvednica)","SW",5.5,7.3,"pretežno oblačno"
"Krapina","NE",2,5.8,"pretežno oblačno"
"Varaždin","S",2.7,6.9,"pretežno oblačno"
"Križevci","S",1.6,6.4,"pretežno oblačno"
"Bilogora","SW",6.4,6.7,"pretežno oblačno"
"Daruvar","SE",1.2,6.2,"potpuno oblačno"
"Bjelovar","S",0.8,6.4,"pretežno oblačno"
"Sisak","S",0.6,5.4,"pretežno oblačno"
"Gorice (kod Nove Gradiške)","NE",1.9,5.6,"pretežno oblačno"
"Kutjevo A","SW",1.3,6.7,"-"
"Slavonski Brod","S",0.4,5.4,"pretežno oblačno"
"Osijek-Čepin","S",0.9,6.8,"potpuno oblačno"
"Osijek-aerodrom","SW",2,5.2,"pretežno oblačno"
"Gradište","SW",2.9,7,"umjereno oblačno"
"Karlovac","SE",0.1,4.4,"potpuno oblačno"
"Ogulin","S",0.6,4.7,"pretežno oblačno"
"NP Plitvička jezera A","SE",0.4,4.2,"-"
"Gospić","S",1,4.9,"potpuno oblačno"
"Parg-Čabar","E",0.3,5.1,"pretežno oblačno"
"Pazin","SW",0.9,6.9,"pretežno oblačno"
"Pula-aerodrom","NW",3,8.1,"rosa, potpuno oblačno"
"Porer A","NW",5.2,10.5,"-"
"Opatija A","W",0.5,9.6,"-"
"Rijeka","NW",1.3,9.9,"pretežno oblačno"
"Rijeka-aerodrom","NE",2,10.9,"pretežno oblačno"
"Malinska A","E",0.7,8.9,"-"
"Crikvenica A","C",0,9.2,"-"
"Senj","E",1,11.5,"potpuno oblačno"
"Zavižan","S",3.8,4.8,"potpuno oblačno"
"Rab","N",0.3,10.4,"potpuno oblačno"
"Mali Lošinj","W",2.7,11,"rosa, potpuno oblačno"
"Zadar","NW",2.7,12.1,"potpuno oblačno"
"Zadar-aerodrom","NW",2,7.4,"umjereno oblačno"
"Veli Rat A","NW",3.1,12.6,"-"
"Knin","SE",0.7,10.2,"pretežno vedro"
"Šibenik","E",1.1,10.4,"potpuno oblačno"
"Split-Marjan","SE",1.9,12.9,"umjereno oblačno"
"Split-aerodrom","NE",2,11.8,"umjereno oblačno"
"Makarska","N",1,11.2,"pretežno oblačno"
"Hvar","N",3.9,12.8,"potpuno oblačno"
"Komiža","N",2,13,"pretežno vedro"
"Ploče","NE",0.4,7,"vedro"
"Dubrovnik","NW",1.6,13.5,"vedro"
"Dubrovnik-aerodrom","N",6,14.5,"vedro"
"Gruda A","SE",1.2,5,"-"
"Prevlaka A","NE",3.5,10.9,"-"
"Lastovo","N",4,12.3,"pretežno vedro"
"Palagruža","NW",5.7,12.6,"umjereno oblačno"
